idx         -e        time(s)           relative         enabled geometry description                                              
263    t103,60         0.0091             0.6141         EXCL: solidXJfixture GLb3.bt09_FlangeI_Web_FlangeII                       
264   t103,141         0.0091             0.6146         EXCL: solidXJfixture mask_PMT_20inch_vetosMask_virtual                    
265   t103,143         0.0091             0.6147         EXCL: solidXJfixture sPoolLining                                          
266   t103,116         0.0091             0.6147         EXCL: solidXJfixture NNVTMCPPMTsMask                                      
267    t103,21         0.0091             0.6148         EXCL: solidXJfixture GLw1.up07_up08_FlangeI_Web_FlangeII                  
268    t103,43         0.0091             0.6149         EXCL: solidXJfixture GLb2.up08_FlangeI_Web_FlangeII                       
269    t103,48         0.0091             0.6156         EXCL: solidXJfixture GLb1.up03_FlangeI_Web_FlangeII                       
270    t103,41         0.0092             0.6158         EXCL: solidXJfixture GLb4.up10_FlangeI_Web_FlangeII                       
271   t103,112         0.0092             0.6174         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_shield_solid              
272   t103,101         0.0092             0.6180         EXCL: solidXJfixture uni_acrylic1                                         
273    t103,10         0.0092             0.6204         EXCL: solidXJfixture sPanelTape                                           
274   t103,134         0.0092             0.6210         EXCL: solidXJfixture sInnerWater                                          
275    t103,85         0.0092             0.6213         EXCL: solidXJfixture ZC2.B01_B01_FlangeI_Web_FlangeII                     
276    t103,27         0.0093             0.6226         EXCL: solidXJfixture GLw1.up01_up02_FlangeI_Web_FlangeII                  
277   t103,108         0.0093             0.6233         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_inner_edge_solid          
278    t103,40         0.0093             0.6270         EXCL: solidXJfixture GLb3.up11_FlangeI_Web_FlangeII                       
279    t103,95         0.0094             0.6303         EXCL: solidXJfixture sAcrylic                                             
280    t103,12         0.0094             0.6304         EXCL: solidXJfixture sPlane                                               
281    t103,34         0.0095             0.6370         EXCL: solidXJfixture GLw1.bt05_bt06_FlangeI_Web_FlangeII                  
282    t103,52         0.0095             0.6371         EXCL: solidXJfixture GLb2.bt01_FlangeI_Web_FlangeII                       
283    t103,81         0.0095             0.6409         EXCL: solidXJfixture ZC2.A03_B04_FlangeI_Web_FlangeII                     
284     t103,4         0.0096             0.6439         EXCL: solidXJfixture Upper_LS_tube                                        
285   t103,104         0.0096             0.6472         EXCL: solidXJfixture HamamatsuR12860sMask                                 
286   t103,126         0.0096             0.6486         EXCL: solidXJfixture PMT_3inch_inner2_solid_ell_helper                    
287   t103,109         0.0097             0.6498         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_inner_ring_solid          
288    t103,71         0.0097             0.6504         EXCL: solidXJfixture GZ1.B03_04_FlangeI_Web_FlangeII                      
289    t103,73         0.0097             0.6506         EXCL: solidXJfixture GZ1.B05_06_FlangeI_Web_FlangeII                      
290   t103,100         0.0097             0.6521         EXCL: solidXJfixture base_steel                                           
291    t103,14         0.0097             0.6526         EXCL: solidXJfixture sAirTT                                               
292   t103,107         0.0098             0.6568         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_outer_edge_solid          
293   t103,145         0.0102             0.6849         EXCL: solidXJfixture sWorld                                               
294       t135         0.0135             0.9061         EXCL: sReflectorInCD                                                      
295       t116         0.0136             0.9167         EXCL: NNVTMCPPMTsMask                                                     
296        t29         0.0137             0.9190         EXCL: GLw2.equ_bt01_FlangeI_Web_FlangeII                                  
297        t95         0.0137             0.9191         EXCL: sAcrylic                                                            
